Paremeter1,Paremeter2,Paremeter3,Paremeter4,Paremeter5,Paremeter6,Paremeter7,Paremeter8,Paremeter9,Paremeter10,Paremeter11,Paremeter12,Paremeter13,Paremeter14,Paremeter15,Paremeter16,Paremeter17,Paremeter18,Paremeter19,Paremeter20,Paremeter21,Paremeter22,Paremeter23,Paremeter24,Paremeter25,Paremeter26,Paremeter27,Paremeter28,Paremeter29,Paremeter30,Paremeter31,Paremeter32,Paremeter33,Paremeter34,Paremeter35,Paremeter36,Paremeter37,Paremeter38,Paremeter39,Paremeter40,Paremeter41,Paremeter42,Paremeter43,Paremeter44,Paremeter45,Paremeter46,Paremeter47,Paremeter48,Paremeter49,Paremeter50,Paremeter51,Paremeter52,Paremeter53,Paremeter54,Paremeter55,Paremeter56,Paremeter57,Paremeter58,Paremeter59,Paremeter60,Paremeter61,Paremeter62,Paremeter63,Paremeter64,Paremeter65,Paremeter66,Paremeter67,Paremeter68,Paremeter69,Paremeter70,Paremeter71,Paremeter72,Paremeter73
400,userID,ID482,Web,complete,insertValue,2019-02-21T15:59:53.896+11:00,Excel,complete,openFile,Sheet1,2019-02-21T16:00:08.665+11:00,data.xls,Web,complete,goToUrl,2019-02-21T16:00:18.740+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T16:00:26.630+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T16:00:40.069+11:00,confirm,Web,complete,clickButton,2019-02-21T16:00:42.145+11:00,Web,complete,waitResponse,2019-02-21T16:00:45.561+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T16:00:57.663+11:00,B2,Web,complete,clickButton,2019-02-21T16:01:02.323+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T16:01:06.354+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T16:01:09.136+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T16:01:13.070+11:00,copy,B,Melbourne 123,Excel
401,userID,ID1135,Web,complete,insertValue,2019-02-21T16:01:33.230+11:00,Excel,complete,openFile,Sheet1,2019-02-21T16:01:43.630+11:00,data.xls,Web,complete,goToUrl,2019-02-21T16:01:57.057+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T16:02:02.796+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T16:02:08.348+11:00,confirm,Web,complete,clickButton,2019-02-21T16:02:14.106+11:00,Web,complete,waitResponse,2019-02-21T16:02:17.867+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T16:02:30.175+11:00,B2,Web,complete,clickButton,2019-02-21T16:02:33.315+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T16:02:34.903+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T16:02:37.710+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T16:02:39.982+11:00,copy,B,Melbourne 123,Excel
402,userID,ID571,Web,complete,insertValue,2019-02-21T16:02:58.383+11:00,Excel,complete,openFile,Sheet1,2019-02-21T16:03:02.625+11:00,data.xls,Web,complete,goToUrl,2019-02-21T16:03:20.319+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T16:03:30.168+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T16:03:42.647+11:00,confirm,Web,complete,clickButton,2019-02-21T16:03:42.647+11:00,Web,complete,waitResponse,2019-02-21T16:03:45.593+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T16:03:55.539+11:00,B2,Web,complete,clickButton,2019-02-21T16:03:59.435+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T16:04:03.384+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T16:04:05.679+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T16:04:06.867+11:00,copy,B,Melbourne 123,Excel
403,userID,ID1338,Web,complete,insertValue,2019-02-21T16:04:27.768+11:00,Excel,complete,openFile,Sheet1,2019-02-21T16:04:29.376+11:00,data.xls,Web,complete,goToUrl,2019-02-21T16:04:48.297+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T16:04:50.163+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T16:04:56.849+11:00,confirm,Web,complete,clickButton,2019-02-21T16:05:04.034+11:00,Web,complete,waitResponse,2019-02-21T16:05:09.183+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T16:05:18.928+11:00,B2,Web,complete,clickButton,2019-02-21T16:05:22.095+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T16:05:23.531+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T16:05:25.765+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T16:05:29.286+11:00,copy,B,Melbourne 123,Excel
404,userID,ID668,Web,complete,insertValue,2019-02-21T16:05:48.209+11:00,Excel,complete,openFile,Sheet1,2019-02-21T16:06:01.317+11:00,data.xls,Web,complete,goToUrl,2019-02-21T16:06:16.200+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T16:06:29+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T16:06:40.618+11:00,confirm,Web,complete,clickButton,2019-02-21T16:06:49.971+11:00,Web,complete,waitResponse,2019-02-21T16:06:55.302+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T16:07:17.555+11:00,B2,Web,complete,clickButton,2019-02-21T16:07:20.546+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T16:07:24.442+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T16:07:28.217+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T16:07:29.700+11:00,copy,B,Melbourne 123,Excel
405,userID,ID1663,Web,complete,insertValue,2019-02-21T16:07:47.170+11:00,Excel,complete,openFile,Sheet1,2019-02-21T16:07:49.218+11:00,data.xls,Web,complete,goToUrl,2019-02-21T16:07:59.547+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T16:08:08.519+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T16:08:21.760+11:00,confirm,Web,complete,clickButton,2019-02-21T16:08:26.295+11:00,Web,complete,waitResponse,2019-02-21T16:08:29.426+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T16:08:38.687+11:00,B2,Web,complete,clickButton,2019-02-21T16:08:40.391+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T16:08:43.336+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T16:08:46.522+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T16:08:50.040+11:00,copy,B,Melbourne 123,Excel
406,userID,ID280,Web,complete,insertValue,2019-02-21T16:09:09.311+11:00,Excel,complete,openFile,Sheet1,2019-02-21T16:09:13.891+11:00,data.xls,Web,complete,goToUrl,2019-02-21T16:09:21.421+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T16:09:39.500+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T16:09:44.102+11:00,confirm,Web,complete,clickButton,2019-02-21T16:09:55.332+11:00,Web,complete,waitResponse,2019-02-21T16:09:59.032+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T16:10:05.226+11:00,B2,Web,complete,clickButton,2019-02-21T16:10:08.720+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T16:10:10.650+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T16:10:12.048+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T16:10:15.437+11:00,copy,B,Melbourne 123,Excel
407,userID,ID1568,Web,complete,insertValue,2019-02-21T16:10:33.468+11:00,Excel,complete,openFile,Sheet1,2019-02-21T16:10:33.468+11:00,data.xls,Web,complete,goToUrl,2019-02-21T16:10:39.564+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T16:10:55.531+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T16:11:09.056+11:00,confirm,Web,complete,clickButton,2019-02-21T16:11:21.373+11:00,Web,complete,waitResponse,2019-02-21T16:11:22.709+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T16:11:22.709+11:00,B2,Web,complete,clickButton,2019-02-21T16:11:26.712+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T16:11:29.370+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T16:11:34.684+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T16:11:37.374+11:00,copy,B,Melbourne 123,Excel
408,userID,ID474,Web,complete,insertValue,2019-02-21T16:11:58.565+11:00,Excel,complete,openFile,Sheet1,2019-02-21T16:12:09.511+11:00,data.xls,Web,complete,goToUrl,2019-02-21T16:12:25.102+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T16:12:38.920+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T16:12:39.131+11:00,confirm,Web,complete,clickButton,2019-02-21T16:12:45.819+11:00,Web,complete,waitResponse,2019-02-21T16:12:48.754+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T16:12:57.183+11:00,B2,Web,complete,clickButton,2019-02-21T16:13:00.879+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T16:13:03.420+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T16:13:06.155+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T16:13:10.039+11:00,copy,B,Melbourne 123,Excel
409,userID,ID409,Web,complete,insertValue,2019-02-21T16:13:31.325+11:00,Excel,complete,openFile,Sheet1,2019-02-21T16:13:33.540+11:00,data.xls,Web,complete,goToUrl,2019-02-21T16:13:40.645+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T16:13:51.463+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T16:13:51.463+11:00,confirm,Web,complete,clickButton,2019-02-21T16:13:54.779+11:00,Web,complete,waitResponse,2019-02-21T16:13:57.846+11:00,www.webpage.com/wrong,ID409,userID,Web,complete,copy,2019-02-21T16:14:00.899+11:00,ID409,newID,Web,complete,paste,2019-02-21T16:14:04.910+11:00,B3,Web,complete,clickButton,2019-02-21T16:14:09.238+11:00,paste,A,ID409,Excel,56,complete,2019-02-21T16:14:12.163+11:00,copy,B,Melbourne 123,Excel,2,complete,2019-02-21T16:14:15.477+11:00,Area,Melbourne 123
410,userID,ID196,Web,complete,insertValue,2019-02-21T16:14:30.368+11:00,Excel,complete,openFile,Sheet1,2019-02-21T16:14:30.368+11:00,data.xls,Web,complete,goToUrl,2019-02-21T16:14:44.920+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T16:14:58.351+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T16:15:09.608+11:00,confirm,Web,complete,clickButton,2019-02-21T16:15:18.675+11:00,Web,complete,waitResponse,2019-02-21T16:15:21.921+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T16:15:21.921+11:00,B2,Web,complete,clickButton,2019-02-21T16:15:26.867+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T16:15:30.207+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T16:15:33.106+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T16:15:35.353+11:00,copy,B,Melbourne 123,Excel
411,userID,ID570,Web,complete,insertValue,2019-02-21T16:15:55.079+11:00,Excel,complete,openFile,Sheet1,2019-02-21T16:15:58.867+11:00,data.xls,Web,complete,goToUrl,2019-02-21T16:16:11.638+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T16:16:22.843+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T16:16:33.309+11:00,confirm,Web,complete,clickButton,2019-02-21T16:16:34.979+11:00,Web,complete,waitResponse,2019-02-21T16:16:37.734+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T16:16:44.587+11:00,B2,Web,complete,clickButton,2019-02-21T16:16:48.820+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T16:16:50.959+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T16:16:54.841+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T16:16:59.238+11:00,copy,B,Melbourne 123,Excel
412,userID,ID1327,Web,complete,insertValue,2019-02-21T16:17:20.521+11:00,Excel,complete,openFile,Sheet1,2019-02-21T16:17:29.339+11:00,data.xls,Web,complete,goToUrl,2019-02-21T16:17:37.535+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T16:17:49.112+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T16:17:55.965+11:00,confirm,Web,complete,clickButton,2019-02-21T16:18:07.788+11:00,Web,complete,waitResponse,2019-02-21T16:18:10.904+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T16:18:16.041+11:00,B2,Web,complete,clickButton,2019-02-21T16:18:19.409+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T16:18:22.942+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T16:18:23.932+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T16:18:25.963+11:00,copy,B,Melbourne 123,Excel
413,userID,ID685,Web,complete,insertValue,2019-02-21T16:18:45.051+11:00,Excel,complete,openFile,Sheet1,2019-02-21T16:18:47.852+11:00,data.xls,Web,complete,goToUrl,2019-02-21T16:18:56.117+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T16:19:10.769+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T16:19:17.591+11:00,confirm,Web,complete,clickButton,2019-02-21T16:19:17.591+11:00,Web,complete,waitResponse,2019-02-21T16:19:22.685+11:00,www.webpage.com/wrong,ID685,userID,Web,complete,copy,2019-02-21T16:19:33.328+11:00,ID685,newID,Web,complete,paste,2019-02-21T16:19:37.001+11:00,B3,Web,complete,clickButton,2019-02-21T16:19:37.474+11:00,paste,A,ID685,Excel,74,complete,2019-02-21T16:19:39.423+11:00,copy,B,Melbourne 123,Excel,2,complete,2019-02-21T16:19:42.775+11:00,Area,Melbourne 123
414,userID,ID810,Web,complete,insertValue,2019-02-21T16:19:59.438+11:00,Excel,complete,openFile,Sheet1,2019-02-21T16:20:05.368+11:00,data.xls,Web,complete,goToUrl,2019-02-21T16:20:11.970+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T16:20:22.671+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T16:20:32.929+11:00,confirm,Web,complete,clickButton,2019-02-21T16:20:46.585+11:00,Web,complete,waitResponse,2019-02-21T16:20:50.465+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T16:20:50.465+11:00,B2,Web,complete,clickButton,2019-02-21T16:20:51.171+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T16:20:54.136+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T16:20:55.490+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T16:20:57.541+11:00,copy,B,Melbourne 123,Excel
415,userID,ID857,Web,complete,insertValue,2019-02-21T16:21:15.739+11:00,Excel,complete,openFile,Sheet1,2019-02-21T16:21:28.682+11:00,data.xls,Web,complete,goToUrl,2019-02-21T16:21:37.951+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T16:21:51.944+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T16:22:01.367+11:00,confirm,Web,complete,clickButton,2019-02-21T16:22:06.835+11:00,Web,complete,waitResponse,2019-02-21T16:22:09.715+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T16:22:11.833+11:00,B2,Web,complete,clickButton,2019-02-21T16:22:13.072+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T16:22:16.724+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T16:22:18.541+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T16:22:20.932+11:00,copy,B,Melbourne 123,Excel
416,userID,ID1145,Web,complete,insertValue,2019-02-21T16:22:39.780+11:00,Excel,complete,openFile,Sheet1,2019-02-21T16:22:42.475+11:00,data.xls,Web,complete,goToUrl,2019-02-21T16:22:55.955+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T16:23:02.100+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T16:23:06.574+11:00,confirm,Web,complete,clickButton,2019-02-21T16:23:10.580+11:00,Web,complete,waitResponse,2019-02-21T16:23:12.936+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T16:23:25.074+11:00,B2,Web,complete,clickButton,2019-02-21T16:23:29.041+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T16:23:33.724+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T16:23:36.401+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T16:23:40.815+11:00,copy,B,Melbourne 123,Excel
417,userID,ID1550,Web,complete,insertValue,2019-02-21T16:23:57.231+11:00,Excel,complete,openFile,Sheet1,2019-02-21T16:24:02.686+11:00,data.xls,Web,complete,goToUrl,2019-02-21T16:24:07.934+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T16:24:21.967+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T16:24:30.240+11:00,confirm,Web,complete,clickButton,2019-02-21T16:24:35.541+11:00,Web,complete,waitResponse,2019-02-21T16:24:37.586+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T16:24:37.586+11:00,B2,Web,complete,clickButton,2019-02-21T16:24:38.683+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T16:24:41.451+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T16:24:45.586+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T16:24:46.961+11:00,copy,B,Melbourne 123,Excel
418,userID,ID1520,Web,complete,insertValue,2019-02-21T16:25:05.660+11:00,Excel,complete,openFile,Sheet1,2019-02-21T16:25:09.506+11:00,data.xls,Web,complete,goToUrl,2019-02-21T16:25:15.431+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T16:25:19.414+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T16:25:23.838+11:00,confirm,Web,complete,clickButton,2019-02-21T16:25:31.311+11:00,Web,complete,waitResponse,2019-02-21T16:25:35.755+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T16:25:45.976+11:00,B2,Web,complete,clickButton,2019-02-21T16:25:50.118+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T16:25:54.672+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T16:25:57.273+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T16:25:58.604+11:00,copy,B,Melbourne 123,Excel
419,userID,ID1579,Web,complete,insertValue,2019-02-21T16:26:17.485+11:00,Excel,complete,openFile,Sheet1,2019-02-21T16:26:18.290+11:00,data.xls,Web,complete,goToUrl,2019-02-21T16:26:26.987+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T16:26:42.241+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T16:26:53.603+11:00,confirm,Web,complete,clickButton,2019-02-21T16:27:04.859+11:00,Web,complete,waitResponse,2019-02-21T16:27:05.171+11:00,www.webpage.com/wrong,ID1579,userID,Web,complete,copy,2019-02-21T16:27:16.673+11:00,ID1579,newID,Web,complete,paste,2019-02-21T16:27:19.428+11:00,B3,Web,complete,clickButton,2019-02-21T16:27:21.844+11:00,paste,A,ID1579,Excel,2,complete,2019-02-21T16:27:23.711+11:00,copy,B,Melbourne 123,Excel,2,complete,2019-02-21T16:27:27.110+11:00,Area,Melbourne 123
420,userID,ID83,Web,complete,insertValue,2019-02-21T16:27:42.093+11:00,Excel,complete,openFile,Sheet1,2019-02-21T16:27:49.407+11:00,data.xls,Web,complete,goToUrl,2019-02-21T16:27:49.407+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T16:27:55.004+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T16:28:05.438+11:00,confirm,Web,complete,clickButton,2019-02-21T16:28:15.492+11:00,Web,complete,waitResponse,2019-02-21T16:28:18.274+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T16:28:28.963+11:00,B2,Web,complete,clickButton,2019-02-21T16:28:32.312+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T16:28:35.107+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T16:28:38.121+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T16:28:40.660+11:00,copy,B,Melbourne 123,Excel
421,userID,ID954,Web,complete,insertValue,2019-02-21T16:29:02.077+11:00,Excel,complete,openFile,Sheet1,2019-02-21T16:29:15.081+11:00,data.xls,Web,complete,goToUrl,2019-02-21T16:29:23.551+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T16:29:32.052+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T16:29:48.129+11:00,confirm,Web,complete,clickButton,2019-02-21T16:29:56.989+11:00,Web,complete,waitResponse,2019-02-21T16:29:58.433+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T16:29:58.433+11:00,B2,Web,complete,clickButton,2019-02-21T16:29:58.460+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T16:30:02.239+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T16:30:05.778+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T16:30:07.889+11:00,copy,B,Melbourne 123,Excel
422,userID,ID474,Web,complete,insertValue,2019-02-21T16:30:29.003+11:00,Excel,complete,openFile,Sheet1,2019-02-21T16:30:36.139+11:00,data.xls,Web,complete,goToUrl,2019-02-21T16:30:38.758+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T16:30:42.056+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T16:30:54.582+11:00,confirm,Web,complete,clickButton,2019-02-21T16:31:01.492+11:00,Web,complete,waitResponse,2019-02-21T16:31:04.264+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T16:31:16.774+11:00,B2,Web,complete,clickButton,2019-02-21T16:31:18.045+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T16:31:22.919+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T16:31:27.571+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T16:31:30.275+11:00,copy,B,Melbourne 123,Excel
423,userID,ID70,Web,complete,insertValue,2019-02-21T16:31:47.135+11:00,Excel,complete,openFile,Sheet1,2019-02-21T16:31:56.154+11:00,data.xls,Web,complete,goToUrl,2019-02-21T16:31:57.551+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T16:32:06.900+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T16:32:10.977+11:00,confirm,Web,complete,clickButton,2019-02-21T16:32:23.145+11:00,Web,complete,waitResponse,2019-02-21T16:32:26.487+11:00,www.webpage.com/error,ID70,userID,Web,complete,copy,2019-02-21T16:32:34.289+11:00,ID70,newID,Web,complete,paste,2019-02-21T16:32:36.702+11:00,B3,Web,complete,clickButton,2019-02-21T16:32:38.853+11:00,paste,A,ID70,Excel,91,complete,2019-02-21T16:32:42.236+11:00,copy,B,Melbourne 123,Excel,2,complete,2019-02-21T16:32:44.785+11:00,Area,Melbourne 123
424,userID,ID1020,Web,complete,insertValue,2019-02-21T16:32:59.957+11:00,Excel,complete,openFile,Sheet1,2019-02-21T16:33:05.199+11:00,data.xls,Web,complete,goToUrl,2019-02-21T16:33:09.047+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T16:33:15.449+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T16:33:26.259+11:00,confirm,Web,complete,clickButton,2019-02-21T16:33:30.160+11:00,Web,complete,waitResponse,2019-02-21T16:33:34.813+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T16:33:40.540+11:00,B2,Web,complete,clickButton,2019-02-21T16:33:43.671+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T16:33:46.843+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T16:33:50.074+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T16:33:53.263+11:00,copy,B,Melbourne 123,Excel
425,userID,ID818,Web,complete,insertValue,2019-02-21T16:34:10.397+11:00,Excel,complete,openFile,Sheet1,2019-02-21T16:34:15.646+11:00,data.xls,Web,complete,goToUrl,2019-02-21T16:34:32.033+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T16:34:46.585+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T16:34:54.946+11:00,confirm,Web,complete,clickButton,2019-02-21T16:35:03.516+11:00,Web,complete,waitResponse,2019-02-21T16:35:06.802+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T16:35:16.131+11:00,B2,Web,complete,clickButton,2019-02-21T16:35:19.794+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T16:35:23.257+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T16:35:24.838+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T16:35:29.476+11:00,copy,B,Melbourne 123,Excel
426,userID,ID682,Web,complete,insertValue,2019-02-21T16:35:47.979+11:00,Excel,complete,openFile,Sheet1,2019-02-21T16:35:55.383+11:00,data.xls,Web,complete,goToUrl,2019-02-21T16:36:04.623+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T16:36:07.748+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T16:36:08.278+11:00,confirm,Web,complete,clickButton,2019-02-21T16:36:11.284+11:00,Web,complete,waitResponse,2019-02-21T16:36:14.609+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T16:36:23.989+11:00,B2,Web,complete,clickButton,2019-02-21T16:36:27.690+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T16:36:31.690+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T16:36:34.612+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T16:36:37.903+11:00,copy,B,Melbourne 123,Excel
427,userID,ID1988,Web,complete,insertValue,2019-02-21T16:36:56.457+11:00,Excel,complete,openFile,Sheet1,2019-02-21T16:37:03.411+11:00,data.xls,Web,complete,goToUrl,2019-02-21T16:37:19.232+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T16:37:32.459+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T16:37:42.458+11:00,confirm,Web,complete,clickButton,2019-02-21T16:37:49.971+11:00,Web,complete,waitResponse,2019-02-21T16:37:52.042+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T16:37:56.213+11:00,B2,Web,complete,clickButton,2019-02-21T16:37:58.683+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T16:38:00.200+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T16:38:04.805+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T16:38:08.940+11:00,copy,B,Melbourne 123,Excel
