Parameter1,Parameter2,Parameter3,Parameter4,Parameter5,Parameter6,Parameter7,Parameter8,Parameter9,Parameter10,Parameter11,Parameter12,Parameter13,Parameter14,Parameter15,Parameter16,Parameter17,Parameter18,Parameter19,Parameter20,Parameter21,Parameter22,Parameter23,Parameter24,Parameter25,Parameter26,Parameter27,Parameter28,Parameter29,Parameter30,Parameter31,Parameter32,Parameter33,Parameter34,Parameter35,Parameter36,Parameter37,Parameter38,Parameter39,Parameter40,Parameter41,Parameter42,Parameter43,Parameter44,Parameter45,Parameter46,Parameter47,Parameter48,Parameter49,Parameter50,Parameter51,Parameter52,Parameter53,Parameter54,Parameter55,Parameter56,Parameter57,Parameter58,Parameter59,Parameter60,Parameter61,Parameter62,Parameter63,Parameter64,Parameter65,Parameter66,Parameter67
60,Excel,complete,openFile,Sheet1,2019-02-19T04:51:18.582+11:00,data.xls,Web,complete,goToUrl,2019-02-19T04:51:27.935+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T04:51:36.275+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T04:51:46.702+11:00,confirm,Web,complete,clickButton,2019-02-19T04:51:54.446+11:00,Web,complete,waitResponse,2019-02-19T04:51:57.243+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T04:52:02.549+11:00,B2,Web,complete,clickButton,2019-02-19T04:52:05.942+11:00,ID,182381,Web,complete,insertValue,2019-02-19T04:52:08.879+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T04:52:12.031+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T04:52:15.435+11:00,copy,B,Melbourne 123,Excel
61,Excel,complete,openFile,Sheet1,2019-02-19T04:52:38.085+11:00,data.xls,Web,complete,goToUrl,2019-02-19T04:52:46.518+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T04:52:52.692+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T04:53:06.526+11:00,confirm,Web,complete,clickButton,2019-02-19T04:53:11.985+11:00,Web,complete,waitResponse,2019-02-19T04:53:13.432+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T04:53:27.156+11:00,B2,Web,complete,clickButton,2019-02-19T04:53:29.563+11:00,ID,182381,Web,complete,insertValue,2019-02-19T04:53:32.952+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T04:53:36.102+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T04:53:37.785+11:00,copy,B,Melbourne 123,Excel
62,Excel,complete,openFile,Sheet1,2019-02-19T04:53:54.802+11:00,data.xls,Web,complete,goToUrl,2019-02-19T04:53:55.790+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T04:54:09.051+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T04:54:16.593+11:00,confirm,Web,complete,clickButton,2019-02-19T04:54:29.765+11:00,Web,complete,waitResponse,2019-02-19T04:54:33.354+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T04:54:42.109+11:00,B2,Web,complete,clickButton,2019-02-19T04:54:45.319+11:00,ID,182381,Web,complete,insertValue,2019-02-19T04:54:47.883+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T04:54:49.517+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T04:54:52.915+11:00,copy,B,Melbourne 123,Excel
63,Excel,complete,openFile,Sheet1,2019-02-19T04:55:12.675+11:00,data.xls,Web,complete,goToUrl,2019-02-19T04:55:15.597+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T04:55:22.451+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T04:55:33.996+11:00,confirm,Web,complete,clickButton,2019-02-19T04:55:35.150+11:00,Web,complete,waitResponse,2019-02-19T04:55:37.643+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T04:55:37.643+11:00,B2,Web,complete,clickButton,2019-02-19T04:55:40.625+11:00,ID,182381,Web,complete,insertValue,2019-02-19T04:55:43.094+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T04:55:44.330+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T04:55:48.037+11:00,copy,B,Melbourne 123,Excel
64,Excel,complete,openFile,Sheet1,2019-02-19T04:56:05.441+11:00,data.xls,Web,complete,goToUrl,2019-02-19T04:56:11.603+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T04:56:16.117+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T04:56:24.343+11:00,confirm,Web,complete,clickButton,2019-02-19T04:56:30.421+11:00,Web,complete,waitResponse,2019-02-19T04:56:32.545+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T04:56:38.622+11:00,B2,Web,complete,clickButton,2019-02-19T04:56:41.404+11:00,ID,182381,Web,complete,insertValue,2019-02-19T04:56:44.676+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T04:56:48.470+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T04:56:51.447+11:00,copy,B,Melbourne 123,Excel
65,Excel,complete,openFile,Sheet1,2019-02-19T04:57:11.653+11:00,data.xls,Web,complete,goToUrl,2019-02-19T04:57:21.979+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T04:57:29.998+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T04:57:35.090+11:00,confirm,Web,complete,clickButton,2019-02-19T04:57:35.090+11:00,Web,complete,waitResponse,2019-02-19T04:57:36.901+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T04:57:41.277+11:00,B2,Web,complete,clickButton,2019-02-19T04:57:44.927+11:00,ID,182381,Web,complete,insertValue,2019-02-19T04:57:49.381+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T04:57:52.374+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T04:57:55.886+11:00,copy,B,Melbourne 123,Excel
66,Excel,complete,openFile,Sheet1,2019-02-19T04:58:12.941+11:00,data.xls,Web,complete,goToUrl,2019-02-19T04:58:17.647+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T04:58:26.924+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T04:58:37.588+11:00,confirm,Web,complete,clickButton,2019-02-19T04:58:41.435+11:00,Web,complete,waitResponse,2019-02-19T04:58:43.775+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T04:58:54.150+11:00,B2,Web,complete,clickButton,2019-02-19T04:58:55.232+11:00,ID,182381,Web,complete,insertValue,2019-02-19T04:58:56.643+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T04:58:59.565+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T04:59:02.855+11:00,copy,B,Melbourne 123,Excel
67,Excel,complete,openFile,Sheet1,2019-02-19T04:59:23.341+11:00,data.xls,Web,complete,goToUrl,2019-02-19T04:59:23.341+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T04:59:26.164+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T04:59:36.038+11:00,confirm,Web,complete,clickButton,2019-02-19T04:59:41.362+11:00,Web,complete,waitResponse,2019-02-19T04:59:45.118+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T04:59:53.412+11:00,B2,Web,complete,clickButton,2019-02-19T04:59:56.067+11:00,ID,182381,Web,complete,insertValue,2019-02-19T04:59:56.992+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T05:00:00.082+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T05:00:04.280+11:00,copy,B,Melbourne 123,Excel
68,Excel,complete,openFile,Sheet1,2019-02-19T05:00:20.421+11:00,data.xls,Web,complete,goToUrl,2019-02-19T05:00:26.795+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T05:00:42.180+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T05:00:49.951+11:00,confirm,Web,complete,clickButton,2019-02-19T05:00:57.858+11:00,Web,complete,waitResponse,2019-02-19T05:01:00.944+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T05:01:02.428+11:00,B2,Web,complete,clickButton,2019-02-19T05:01:07.256+11:00,ID,182381,Web,complete,insertValue,2019-02-19T05:01:10.604+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T05:01:15.497+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T05:01:18.615+11:00,copy,B,Melbourne 123,Excel
69,Excel,complete,openFile,Sheet1,2019-02-19T05:01:39.124+11:00,data.xls,Web,complete,goToUrl,2019-02-19T05:01:53.359+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T05:01:59.856+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T05:02:08.223+11:00,confirm,Web,complete,clickButton,2019-02-19T05:02:14.116+11:00,Web,complete,waitResponse,2019-02-19T05:02:17.322+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T05:02:28.418+11:00,B2,Web,complete,clickButton,2019-02-19T05:02:30.498+11:00,ID,182381,Web,complete,insertValue,2019-02-19T05:02:32.678+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T05:02:33.919+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T05:02:35.245+11:00,copy,B,Melbourne 123,Excel
70,Excel,complete,openFile,Sheet1,2019-02-19T05:02:53.211+11:00,data.xls,Web,complete,goToUrl,2019-02-19T05:03:14.196+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T05:03:27.629+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T05:03:31.990+11:00,confirm,Web,complete,clickButton,2019-02-19T05:03:31.990+11:00,Web,complete,waitResponse,2019-02-19T05:03:34.430+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T05:03:34.430+11:00,B2,Web,complete,clickButton,2019-02-19T05:03:37.956+11:00,ID,182381,Web,complete,insertValue,2019-02-19T05:03:42.497+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T05:03:44.742+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T05:03:47.602+11:00,copy,B,Melbourne 123,Excel
71,Excel,complete,openFile,Sheet1,2019-02-19T05:04:05.843+11:00,data.xls,Web,complete,goToUrl,2019-02-19T05:04:15.504+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T05:04:15.734+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T05:04:18.066+11:00,confirm,Web,complete,clickButton,2019-02-19T05:04:28.038+11:00,Web,complete,waitResponse,2019-02-19T05:04:31.656+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T05:04:32.963+11:00,B2,Web,complete,clickButton,2019-02-19T05:04:35.578+11:00,ID,182381,Web,complete,insertValue,2019-02-19T05:04:38.904+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T05:04:43.075+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T05:04:44.908+11:00,copy,B,Melbourne 123,Excel
72,Excel,complete,openFile,Sheet1,2019-02-19T05:05:03.567+11:00,data.xls,Web,complete,goToUrl,2019-02-19T05:05:06.023+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T05:05:22.911+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T05:05:27.425+11:00,confirm,Web,complete,clickButton,2019-02-19T05:05:44.604+11:00,Web,complete,waitResponse,2019-02-19T05:05:49.988+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T05:05:57.205+11:00,B2,Web,complete,clickButton,2019-02-19T05:06:00.302+11:00,ID,182381,Web,complete,insertValue,2019-02-19T05:06:03.928+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T05:06:07.682+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T05:06:11.907+11:00,copy,B,Melbourne 123,Excel
73,Excel,complete,openFile,Sheet1,2019-02-19T05:06:32.984+11:00,data.xls,Web,complete,goToUrl,2019-02-19T05:06:34.137+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T05:06:42.048+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T05:06:50.609+11:00,confirm,Web,complete,clickButton,2019-02-19T05:06:50.707+11:00,Web,complete,waitResponse,2019-02-19T05:06:53.267+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T05:07:06.592+11:00,B2,Web,complete,clickButton,2019-02-19T05:07:10.127+11:00,ID,182381,Web,complete,insertValue,2019-02-19T05:07:13.175+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T05:07:17.618+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T05:07:21.250+11:00,copy,B,Melbourne 123,Excel
74,Excel,complete,openFile,Sheet1,2019-02-19T05:07:41.260+11:00,data.xls,Web,complete,goToUrl,2019-02-19T05:07:53.631+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T05:08:04.476+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T05:08:13.339+11:00,confirm,Web,complete,clickButton,2019-02-19T05:08:18.925+11:00,Web,complete,waitResponse,2019-02-19T05:08:21.595+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T05:08:35.455+11:00,B2,Web,complete,clickButton,2019-02-19T05:08:36.112+11:00,ID,182381,Web,complete,insertValue,2019-02-19T05:08:38.795+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T05:08:40.619+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T05:08:43.037+11:00,copy,B,Melbourne 123,Excel
75,Excel,complete,openFile,Sheet1,2019-02-19T05:09:02.623+11:00,data.xls,Web,complete,goToUrl,2019-02-19T05:09:11.429+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T05:09:14.054+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T05:09:20.617+11:00,confirm,Web,complete,clickButton,2019-02-19T05:09:36.946+11:00,Web,complete,waitResponse,2019-02-19T05:09:40.437+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T05:09:49.422+11:00,B2,Web,complete,clickButton,2019-02-19T05:09:53.824+11:00,ID,182381,Web,complete,insertValue,2019-02-19T05:09:56.623+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T05:10:00.878+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T05:10:04.413+11:00,copy,B,Melbourne 123,Excel
76,Excel,complete,openFile,Sheet1,2019-02-19T05:10:24.901+11:00,data.xls,Web,complete,goToUrl,2019-02-19T05:10:43.116+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T05:10:53.636+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T05:11:03.771+11:00,confirm,Web,complete,clickButton,2019-02-19T05:11:06.007+11:00,Web,complete,waitResponse,2019-02-19T05:11:08.368+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T05:11:20.696+11:00,B2,Web,complete,clickButton,2019-02-19T05:11:23.440+11:00,ID,182381,Web,complete,insertValue,2019-02-19T05:11:28.009+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T05:11:28.801+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T05:11:32.074+11:00,copy,B,Melbourne 123,Excel
77,Excel,complete,openFile,Sheet1,2019-02-19T05:11:48.899+11:00,data.xls,Web,complete,goToUrl,2019-02-19T05:12:00.607+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T05:12:07.478+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T05:12:12.905+11:00,confirm,Web,complete,clickButton,2019-02-19T05:12:12.905+11:00,Web,complete,waitResponse,2019-02-19T05:12:16.565+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T05:12:29.335+11:00,B2,Web,complete,clickButton,2019-02-19T05:12:32.538+11:00,ID,182381,Web,complete,insertValue,2019-02-19T05:12:35.670+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T05:12:37.102+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T05:12:40.750+11:00,copy,B,Melbourne 123,Excel
78,Excel,complete,openFile,Sheet1,2019-02-19T05:13:01.914+11:00,data.xls,Web,complete,goToUrl,2019-02-19T05:13:14.466+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T05:13:27.330+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T05:13:36.951+11:00,confirm,Web,complete,clickButton,2019-02-19T05:13:54.175+11:00,Web,complete,waitResponse,2019-02-19T05:13:57.365+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T05:14:03.927+11:00,B2,Web,complete,clickButton,2019-02-19T05:14:07.684+11:00,ID,182381,Web,complete,insertValue,2019-02-19T05:14:11.829+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T05:14:14.554+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T05:14:15.429+11:00,copy,B,Melbourne 123,Excel
79,Excel,complete,openFile,Sheet1,2019-02-19T05:14:35.555+11:00,data.xls,Web,complete,goToUrl,2019-02-19T05:14:47.017+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T05:14:56.109+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T05:15:07.826+11:00,confirm,Web,complete,clickButton,2019-02-19T05:15:21.899+11:00,Web,complete,waitResponse,2019-02-19T05:15:24.080+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T05:15:35.729+11:00,B2,Web,complete,clickButton,2019-02-19T05:15:40.199+11:00,ID,182381,Web,complete,insertValue,2019-02-19T05:15:40.665+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T05:15:43.294+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T05:15:46.862+11:00,copy,B,Melbourne 123,Excel
80,Excel,complete,openFile,Sheet1,2019-02-19T05:16:07.198+11:00,data.xls,Web,complete,goToUrl,2019-02-19T05:16:17.470+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T05:16:26.959+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T05:16:36.586+11:00,confirm,Web,complete,clickButton,2019-02-19T05:16:52.408+11:00,Web,complete,waitResponse,2019-02-19T05:16:55.283+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T05:17:05.132+11:00,B2,Web,complete,clickButton,2019-02-19T05:17:07.509+11:00,ID,182381,Web,complete,insertValue,2019-02-19T05:17:11.707+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T05:17:13.852+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T05:17:18.284+11:00,copy,B,Melbourne 123,Excel
81,Excel,complete,openFile,Sheet1,2019-02-19T05:17:38.362+11:00,data.xls,Web,complete,goToUrl,2019-02-19T05:17:38.767+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T05:17:46.270+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T05:17:50.308+11:00,confirm,Web,complete,clickButton,2019-02-19T05:18:01.195+11:00,Web,complete,waitResponse,2019-02-19T05:18:05.456+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T05:18:16.324+11:00,B2,Web,complete,clickButton,2019-02-19T05:18:17.894+11:00,ID,182381,Web,complete,insertValue,2019-02-19T05:18:20.949+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T05:18:23.384+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T05:18:25.617+11:00,copy,B,Melbourne 123,Excel
82,Excel,complete,openFile,Sheet1,2019-02-19T05:18:44.936+11:00,data.xls,Web,complete,goToUrl,2019-02-19T05:18:53.427+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T05:19:14.726+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T05:19:16.002+11:00,confirm,Web,complete,clickButton,2019-02-19T05:19:20.333+11:00,Web,complete,waitResponse,2019-02-19T05:19:23.730+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T05:19:31.515+11:00,B2,Web,complete,clickButton,2019-02-19T05:19:32.829+11:00,ID,182381,Web,complete,insertValue,2019-02-19T05:19:38.739+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T05:19:41.255+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T05:19:45.014+11:00,copy,B,Melbourne 123,Excel
83,Excel,complete,openFile,Sheet1,2019-02-19T05:20:02.986+11:00,data.xls,Web,complete,goToUrl,2019-02-19T05:20:13.752+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T05:20:13.752+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T05:20:18.395+11:00,confirm,Web,complete,clickButton,2019-02-19T05:20:23.911+11:00,Web,complete,waitResponse,2019-02-19T05:20:26.459+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T05:20:39.627+11:00,B2,Web,complete,clickButton,2019-02-19T05:20:42.790+11:00,ID,182381,Web,complete,insertValue,2019-02-19T05:20:45.135+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T05:20:46.473+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T05:20:49.236+11:00,copy,B,Melbourne 123,Excel
84,Excel,complete,openFile,Sheet1,2019-02-19T05:21:08.920+11:00,data.xls,Web,complete,goToUrl,2019-02-19T05:21:28.273+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T05:21:35.773+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T05:21:48.595+11:00,confirm,Web,complete,clickButton,2019-02-19T05:21:51.370+11:00,Web,complete,waitResponse,2019-02-19T05:21:53.538+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T05:21:57.723+11:00,B2,Web,complete,clickButton,2019-02-19T05:21:59.867+11:00,ID,182381,Web,complete,insertValue,2019-02-19T05:22:01.620+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T05:22:04.056+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T05:22:07.076+11:00,copy,B,Melbourne 123,Excel
85,Excel,complete,openFile,Sheet1,2019-02-19T05:22:25.300+11:00,data.xls,Web,complete,goToUrl,2019-02-19T05:22:30.395+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T05:22:41.864+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T05:22:46.615+11:00,confirm,Web,complete,clickButton,2019-02-19T05:22:55.694+11:00,Web,complete,waitResponse,2019-02-19T05:22:57.579+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T05:23:00.095+11:00,B2,Web,complete,clickButton,2019-02-19T05:23:02.772+11:00,ID,182381,Web,complete,insertValue,2019-02-19T05:23:05.339+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T05:23:07.186+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T05:23:10.019+11:00,copy,B,Melbourne 123,Excel
86,Excel,complete,openFile,Sheet1,2019-02-19T05:23:31.686+11:00,data.xls,Web,complete,goToUrl,2019-02-19T05:23:41.196+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T05:23:43.229+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T05:23:52.313+11:00,confirm,Web,complete,clickButton,2019-02-19T05:24:00.453+11:00,Web,complete,waitResponse,2019-02-19T05:24:03.157+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T05:24:29.133+11:00,B2,Web,complete,clickButton,2019-02-19T05:24:31.073+11:00,ID,182381,Web,complete,insertValue,2019-02-19T05:24:34.265+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T05:24:37.902+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T05:24:41.880+11:00,copy,B,Melbourne 123,Excel
87,Excel,complete,openFile,Sheet1,2019-02-19T05:25:02.172+11:00,data.xls,Web,complete,goToUrl,2019-02-19T05:25:10.680+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T05:25:17.008+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T05:25:21.495+11:00,confirm,Web,complete,clickButton,2019-02-19T05:25:34.522+11:00,Web,complete,waitResponse,2019-02-19T05:25:36.552+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T05:25:44.566+11:00,B2,Web,complete,clickButton,2019-02-19T05:25:46.223+11:00,ID,182381,Web,complete,insertValue,2019-02-19T05:25:47.944+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T05:25:50.963+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T05:25:52.936+11:00,copy,B,Melbourne 123,Excel
88,Excel,complete,openFile,Sheet1,2019-02-19T05:26:12.998+11:00,data.xls,Web,complete,goToUrl,2019-02-19T05:26:19.284+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T05:26:35.146+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T05:26:40.862+11:00,confirm,Web,complete,clickButton,2019-02-19T05:26:54.131+11:00,Web,complete,waitResponse,2019-02-19T05:26:57.698+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T05:27:02.479+11:00,B2,Web,complete,clickButton,2019-02-19T05:27:07.722+11:00,ID,182381,Web,complete,insertValue,2019-02-19T05:27:11.955+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T05:27:15.042+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T05:27:18.571+11:00,copy,B,Melbourne 123,Excel
89,Excel,complete,openFile,Sheet1,2019-02-19T05:27:40.150+11:00,data.xls,Web,complete,goToUrl,2019-02-19T05:27:42.530+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T05:27:50.453+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T05:27:54.344+11:00,confirm,Web,complete,clickButton,2019-02-19T05:27:57.790+11:00,Web,complete,waitResponse,2019-02-19T05:27:59.959+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T05:28:06.609+11:00,B2,Web,complete,clickButton,2019-02-19T05:28:09.552+11:00,ID,182381,Web,complete,insertValue,2019-02-19T05:28:14.010+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T05:28:17.269+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T05:28:21.078+11:00,copy,B,Melbourne 123,Excel
